retrieved_context,question,reference,response,faithfullness,answer_relevance,answer_correctness
"[Chunk 1]
الأشخاص: ليوناردو دي سير بيرو دا فينشي
التواريخ: 15 ابريل 1452، 2 مايو 1519
النص: ليوناردو دي سير بيرو دا فينشي ( 15 إبريل 1452 - 2 مايو 1519 ) كان موسوعيا ينتمي إلى عصر النهضة حيث كان رساما ، مهندسا ، عالم نبات ، عالم خرائط ، جيولوجيا ، موسيقيا ، نحاتا ، معماريا وعالما إيطاليا مشهورا

[Chunk 2]
الأشخاص: ليوناردو ويلهلم دي كابريو
التواريخ: 11 نوفمبر ، 1974، عام 2016
النص: ليوناردو ويلهلم دي كابريو ( مواليد 11 نوفمبر ، 1974 ) ، ممثل ومنتج أفلام أمريكي ، فائز بجائزة الأوسكار عن دوره في فيلم "" العائد "" ("" The Revenant "") عام 2016 ورشح ست مرات أخرى لنفس الجائزة ، كما رشح لأربع جوائز بافتا فاز بواحدة منها عن دوره في فيلم العائد أيضا عام 2016

[Chunk 3]
الأشخاص: رونالدو، لويس نازاريو دي ليما
التواريخ: 22 سبتمبر عام 1976، فبراير عام 2011
النص: رونالدو لويس نازاريو دي ليما ( بالبرتغالية مواليد 22 سبتمبر عام 1976 ) ، المعروف اختصارا ب رونالدو ، ويعرف أيضا بلقبه "" الظاهرة "" هو لاعب كرة قدم برازيلي سابق اعتزل لعب كرة القدم في فبراير عام 2011",متى توفي ليوناردو ؟,2 مايو 1519,توفي ليوناردو دي سير بيرو دا فينشي في 2 مايو 1519.,0.93,0.91,0.91
"[Chunk 1]
الأشخاص: غازي عبد الرحمن القصيبي، نبيل
المنظمات: جامعة القاهرة، جامعة جنوب كاليفورنيا، جامعة لندن، كلية الحقوق
الأماكن: الاحساء، المنام، اليمن، امريكا، بالب، جنوب كاليفورنيا، لوس انجلوس
التواريخ: 15 اغسطس 2010، 2 مارس 1940
النص: غازي عبد الرحمن القصيبي ، ( 2 مارس 1940 - 15 أغسطس 2010 ) شاعر وأديب وسفير دبلوماسي ووزير سعودي ، قضى في الأحساء سنوات عمره الأولى ثم انتقل بعدها إلى المنامة بالبحرين ليدرس فيها مراحل التعليم ، حصل على درجة البكالوريوس من كلية الحقوق في جامعة القاهرة ، ثم حصل على درجة الماجستير في العلاقات الدولية من جامعة جنوب كاليفورنيا التي لم يكن يريد الدراسة بها ، بل كان يريد دراسة القانون الدولي في جامعات أخرى من جامعات أمريكا ، وبالفعل حصل على عدد من القبولات في جامعات عدة ولكن لمرض أخيه نبيل اضطر إلى الانتقال إلى جواره والدراسة في جنوب كاليفورنيا وبالتحديد في لوس أنجلوس ولم يجد التخصص المطلوب فيها فاضطر إلى دراسة العلاقات الدولية أما الدكتوراة ففي العلاقات الدولية من جامعة لندن والتي كانت رسالتها فيها حول اليمن كما أوضح ذلك في كتابه حياة في الإدارة .

[Chunk 2]
الأشخاص: القب
النص: وبحسب ما يقول في مذكراته ، فقد ورث القباني من أبيه ، ميله نحو الشعر كما ورث عن جده حبه للفن بمختلف أشكاله

[Chunk 3]
الأشخاص: تميم بن حمد
النص: والده وجده كانا صيادي لؤلؤ ، وربطته صداقة بأمير قطر الشيخ تميم بن حمد منذ أن كان في سن الحادية عشر عاما",بماذا وصف القصيبي والده ؟,شديد الاحترام لاستقلال أولاده,لم يتم وصف القصيبي لوالده في السياق المقدم.,0.5,0.34,0.4
"[Chunk 1]
الأشخاص: اناس، كي كوسم ماه بيكر سلطان، ه يكر
النص: السلطانة كوسم وتعرف أيضا باسم السلطانة ماه يكر ( أي وجه القمر ) ، أو "" خاصكي كوسم ماه بيكر سلطان "" ، واسمها الحقيقي "" أناستاسيا ""

[Chunk 2]
الأشخاص: احمد، مه بيكر
النص: وبعد أن أسلمت تغير اسمها إلى مه بيكر ، وغير السلطان أحمد اسمها فيما بعد إلى كوسم

[Chunk 3]
الأشخاص: احمد الاول، ه بيكر
الأماكن: قصر توبكابي
التواريخ: 101، 1603، 2 ه، عام 1026 ه / 1617 م
النص: وسميت باسم "" ماه بيكر "" بفضل حب السلطان العثماني الرابع عشر أحمد الأول ( حكم من 1012 ه / 1603 م - حتى عام 1026 ه / 1617 م ) لها وبعد أن أسلمت تزوجت منه ، وهكذا بدأت حياتها الجديدة في قصر توبكابي",من السلطان الذي أحب السلطانة كوسم ؟,السلطان العثماني الرابع عشر أحمد الأول,"السلطان العثماني الرابع عشر أحمد الأول هو من أحب السلطانة كوسم، والتي عرفت أيضًا باسم ماه بيكر.",0.93,0.91,0.93
"[Chunk 1]
المنظمات: ابي تل ابيب، الشرطة العراقي، ل تل ابيب، من بيروت
التواريخ: عام 1970، عام 1971
النص: في عام 1970 ، رفض فريق نادي هومنتمن بيروت اللبناني اللعب ضد نادي هبوعيل تل أبيب في الدور نصف النهائي ، وبالتالي ذهب هبوعيل مباشرة إلى النهائي ، بينما في عام 1971 ، رفض فريق الشرطة العراقي اللعب ضد مكابي تل أبيب في مناسبتين منفصلتين في البطولة

[Chunk 2]
المنظمات: ابي تل ابيب، استقلال طهران، الاتحاد السعودي، السد، الهلال، اورا، بنك فارمز، بوك هيونداي موتورز، جو افر، سون سامسونغ بلوو وينغ، نغ ستيلرز، وا ريد دايمونز
التواريخ: 1970، 1986، 1987، 1989، 1990، 1991، 1994,، 1995، 1995 -، 1997، 1998، 2000، 2001,، 2002، 2004، 2005، 2006، 2007,، 2009، 2010، 2011، 2013,، 2014، 2015، 2016، 2017، 2019، 96,، صاف
النص: فاز باللقب 14 ناديا مختلفا ، 12 منهم فاز باللقب أكثر من مرة يعد ناديا الهلال السعودي وبوهانغ ستيلرز الكوري الجنوبي الناديان الأكثر فوزا باللقب ، حيث فازا بالبطولة ثلاث مرات ، وقد حقق الهلال ألقاب 1991 و 2000 و 2019 ، فيما أحرز النادي الكوري اللقب أعوام 1997 و 1998 و 2009 ، ويحمل الهلال الرقم القياسي من حيث عدد مرات الوصول للمبارة النهائية ، حيث لعب النهائي 7 مرات وهو أكثر من حل وصيفا ، فقد خسر النهائي القاري 4 مرات ، في الأعوام 2017 ، 2014 ، 1987 ، 1986 ) كما حقق نادي الاتحاد السعودي البطولة مرتين أعوام 2004 ، 2005 والوصافة مرة واحدة في 2009 و السد القطري أعوام 1989 , 2011 و سيونغنام 1995 -96 , 2010 و غوانجو افرغراند 2013 , 2015 و جيونبوك هيونداي موتورز 2006 , 2016 و اوراوا ريد دايمونز 2007 , 2017 و سون سامسونغ بلوو وينغ 2001 , 2002 و بنك فارمز 1994 , 1995 و استقلال طهران 1970 , 1990 -91 و مكابي تل ابيب ، وهناك 13 نادي آخر حققوا اللقب لمرة واحدة فقط ، و 19 نادي اكتفوا بالوصافة دون تحقيق اللقب

[Chunk 3]
المنظمات: اللبنانية
الأماكن: بيروت، للجمهورية
التواريخ: 2007
النص: بيروت هي العاصمة السياسية للجمهورية اللبنانية وأكبر مدنها يتعدى عدد سكانها المليوني نسمة بحسب أحد إحصائيات سنة 2007",متى رفض نادي هومنتمن بيروت اللبناني اللعب ضد نادي هبوعيل تل أبيب ؟,عام 1970,رفض نادي هومنتمن بيروت اللعب ضد هبوعيل تل أبيب في عام 1970.,0.92,0.92,0.91
"[Chunk 1]
الأماكن: قريش
النص: لأنه قال « أسلمت وأنا ابن تسع عشرة سنة » ، نشأ سعد في قريش ، واشتغل في بري السهام وصناعة القسي ، كان سعد رجلا قصيرا ، دحداحا ، غليظا ، ذا هامة ، شثن الأصابع ، جعد الشعر ، أشعر الجسد ، آدم ، أفطس ، يخضب بالسواد

[Chunk 2]
الأشخاص: سعد بن ابي وقاص
النص: ولد سعد بن أبي وقاص في مكة واختلف في عام مولده ، فقيل ولد سنة 23 قبل الهجرة ، وقيل ولد قبل البعثة بتسع عشرة سنة

[Chunk 3]
الأشخاص: الحسيني الشاذلي، ة الجوهري، تفيد، سعد زغلول، محمد وح، والحسين، وعبدالحكيم، يدة وبسيمة، يمة وفر
الأماكن: ا النيل، الغربية، شبرا
التواريخ: 1 ابريل 1922
النص: ولد بقرية شبراتنا مركز بسيون في محافظة الغربية في دلتا النيل في 1 أبريل 1922 في أسرة فوق المتوسطة كان والده من الأعيان ، وكانت أسرته تملك ( 70 ) فدانا ، أبوه هو الحاج الحسيني الشاذلي ، وأمه السيدة تفيدة الجوهري وهي الزوجة الثانية لأبيه ، وسمى على اسم الزعيم سعد زغلول ، كان والده أحد ملاك الأراضي الزراعية وقد تزوج مرتين وأنجب من الأولى تسعة أبناء هم محمد وحامد وعبدالحكيم والحسيني وعبدالسلام ونظيمة وفريدة وبسيمة ومرسية",أين نشأ سعد ؟,في قريش,نشأ سعد بن أبي وقاص في قريش.,0.93,0.93,0.93
"[Chunk 1]
الأشخاص: اسامة فوزي، مروان حامد، هاني خليفة، وحيد حامد، يوسف ادريس
المنظمات: مهرجان
النص: قدمه هاني خليفة للمخرج أسامة فوزي الذي أسند إليه دورا في فيلم جنة الشياطين ، ثم قدمه وحيد حامد في فيلم ديل السمكة الذي حصل فيه على جائزة أحسن ممثل مساعد من مهرجان الإسكندرية كما عمل في فيلم لي لي ( وهو فيلم قصير 45 دقيقة ) من قصة يوسف إدريس وإخراج مروان حامد

[Chunk 2]
الأشخاص: عمرو واكد
التواريخ: 12 ابريل 1973
النص: عمرو واكد ( 12 أبريل 1973 -) هو ممثل مسرحي وممثل أفلام مصري شارك في العديد من الأعمال الفنية المحلية والدولية

[Chunk 3]
الأشخاص: حسني مبارك، عمرو واكد
الأماكن: ميدان التحرير
التواريخ: 25 يناير
النص: يعد عمرو واكد من بين أوائل الفنانين الذين شاركوا في ثورة 25 يناير منذ يومها الأول حيث نزل للشوارع رفقة باقي الشعب المصري ثم توجه في وقت لاحق باتجاه ميدان التحرير وشارك في المظاهرات التي أسقطت نظام حسني مبارك الذي حكم مصر لأكثر من 30 سنة",لمن قدم هاني خليفة عمرو واكد ؟,للمخرج أسامة فوزي,"لم يقدم هاني خليفة عمرو واكد، بل قدمه للمخرج أسامة فوزي في سياق عمله في فيلم ""جنة الشياطين"".",0.9,0.93,0.94
"[Chunk 1]
المنظمات: منظمة الصحة العالمية
التواريخ: 2009
النص: أعلنت منظمة الصحة العالمية تفشي نوع جديد من الأنفلونزا A / H 1 N 1 فيروس الإنفلونزا أ ليكون جائحة إنفلونزا الخنازير 2009

[Chunk 2]
المنظمات: منظمة الصحة العالمية
التواريخ: 11 مارس، 30 يناير
النص: أعلنت منظمة الصحة العالمية رسميا في 30 يناير أن تفشي الفيروس يشكل حالة طوارئ صحية عامة تبعث على القلق الدولي ، وأكدت تحول الفاشية إلى جائحة يوم 11 مارس

[Chunk 3]
المنظمات: منظمة الصحة العالمية
التواريخ: 30 يناير
النص: أعلنت منظمة الصحة العالمية رسميا في 30 يناير أن تفشي الفيروس يشكل حالة طوارئ صحية عامة تبعث على القلق الدولي ( PHEIC ) ، بالتزامن مع تأكيد 7818 إصابة على مستوى العالم في اليوم نفسه ، على امتداد 19 دولة ضمن خمسة من مناطق منظمة الصحة العالمية الستة",متى أعلنت منظمة الصحة العالمية فيروس إنفلونزا الخنازير أنه وباء ؟,11 يونيو 2009,أعلنت منظمة الصحة العالمية فيروس إنفلونزا الخنازير وباءً في 11 مارس 2009.,0.92,0.92,0.91
"[Chunk 1]
الأشخاص: شعراوي، هدى سلطان
النص: وقد غيرت لقبها بعد الزواج من هدى سلطان إلى هدى "" شعراوي "" تقليدا للغرب ولكن بعد عام تبين أنه قد عاد لزوجته السابقة فانفصلت عنه هدى في عمر الرابعة عشر

[Chunk 2]
الأشخاص: حسين كامل
الأماكن: بالقاهرة، حي الجمالية
النص: ولدت في حي الجمالية بالقاهرة ، وشاء القدر أن يتفق يوم مولدها مع زفاف الأميرة "" ملك "" إلى الأمير "" حسين كامل "" الذي صار سلطانا بعد ذلك ، فسماها أبوها باسم الأميرة

[Chunk 3]
الأشخاص: ايوب
الأماكن: دمشق
النص: لقبه الملك الصالح أيوب في دمشق ب "" ركن الدين "" ، وبعد وصوله للحكم لقب نفسه بالملك الظاهر",ما هو الاسم الذي اتخذته ملك الحفني بعد الزواج ؟,باحثة البادية,"اتخذت ملك الحفني اسم ""هدى شعراوي"" بعد زواجها من شعراوي.",0.93,0.92,0.33
"[Chunk 1]
النص: وانتقلت بعض الألفاظ الفارسية إلى اللغة العربية ، وظهرت في شعر كبار الشعراء ، وكان الأعشى من أشهر من استخدموا في شعرهم كلمات فارسية كذلك عرف البعض جيرانهم البيزنطيين

[Chunk 2]
الأشخاص: ة بن شداد بن قراد العبسي
النص: عنترة بن شداد بن قراد العبسي ( 525 م - 608 م ) هو أحد أشهر شعراء العرب في فترة ما قبل الإسلام ، واشتهر بشعر الفروسية ، وله معلقة مشهورة يعتبر من أشهر الفرسان العرب ، وشاعر المعلقات والمعروف بشعره الجميل وغزله العفيف بعبلة

[Chunk 3]
المنظمات: البي بي سي
الأماكن: العالم الاسلامي، الولايات المتحدة
التواريخ: 2007 م
النص: تركت أشعاره ومؤلفاته الصوفية والتي كتبت أغلبها باللغة الفارسية وبعضها بالعربية والتركية ، تأثيرا واسعا في العالم الإسلامي وخاصة على الثقافة الفارسية والعربية والأردية والبنغالية والتركية ، وفي العصر الحديث ترجمت بعض أعماله إلى كثير من لغات العالم ولقيت صدى واسعا جدا إذ وصفته البي بي سي سنة 2007 م بأكثر الشعراء شعبية في الولايات المتحدة .",من هو الشاعر المشهور الذي كثر استخدامه للألفاظ الفارسية ؟,الأعشى,عنترة بن شداد العبسي من أشهر الشعراء الذين استخدموا الألفاظ الفارسية في شعرهم.,0.8,0.92,0.3
"[Chunk 1]
النص: يعتقد معظم الفلكيين حاليا بأن النظام الشمسي قد ولد قبل 4 6 مليارات سنة من سحابة ضخمة من الغاز والغبار تعرف بالسديم الشمسي

[Chunk 2]
النص: النظام الشمسي أو المجموعة الشمسية أو المنظومة الشمسية هي النظام الكوكبي الذي يتكون من الشمس وجميع ما يدور حولها من أجرام بما في ذلك الأرض والكواكب الأخرى يشمل النظام الشمسي أجراما أخرى أصغر حجما هي الكواكب القزمة والكويكبات والنيازك والمذنبات ، إضافة إلى سحابة رقيقة من الغاز والغبار تعرف بالوسط بين الكوكبي ، كما توجد توابع الكواكب التي تسمى الأقمار ، والتي يبلغ عددها أكثر من 150 قمرا معروفا في النظام الشمسي ، معظمها تدور حول العمالقة الغازية لكن أكبر جرم في النظام الشمسي وأهم هذه الأجرام طبعا هو الشمس ، النجم الذي يقع في مركز النظام ويربطه بجاذبيته ، فكتلتها تبلغ 99

[Chunk 3]
التواريخ: الاثنين، شهر ربيع الاول، يوم
النص: تنص بعض المصادر على أن ولادته كانت يوم الجمعة عند طلوع الشمس وقيل أيضا يوم الاثنين لثلاث عشرة ليلة بقيت من شهر ربيع الأول سنة ثلاث وثمانين ، وقالوا سنة ست وثمانين ، وقيل في السابع عشر منه",متى ولد النظام الشمسي كما اعتقد الفلكيين ؟,ولد قبل 4.6 مليارات سنة,يعتقد معظم الفلكيين حاليًا أن النظام الشمسي قد ولد قبل 4.6 مليارات سنة من سحابة ضخمة من الغاز والغبار تعرف بالسديم الشمسي.,0.93,0.91,0.93
"[Chunk 1]
الأشخاص: دي لوزينيان، رينو دي شاتيون، صلاح الدين، نور الدين زنكي
المنظمات: رينو، مملكة القدس
الأماكن: القاهرة، حصن الكرك، دمشق، سوريا، قبرص البيزنطية، والحج، والقد
التواريخ: 115، 118، اواخر سنة 1186 م، عام 1099 م
النص: كانت مناطق من البلاد الإسلامية والقدس تحديدا قد احتلت من قبل الصليبيين عام 1099 م ، وكان الإقطاعيون الصليبيون والفرسان قد نصبوا أنفسهم أمراء وملوك على تلك المناطق ، فكان هذا على مدى قرن دافعا لتحرير البلاد من الاحتلال ، وكانت غارة لصوصية شنها أحد بارونات الإفرنج البارزين ، رينو دي شاتيون ( أرناط ) السبب المباشر لهجوم المسلمين ، رينو دي شاتيون كان مغامرا وقحا وسبق له أن اجتاح قبرص البيزنطية في سنة 1155 م وعمل فيها سلبا ونهبا ، وكان قد أسر عند نور الدين زنكي قبل 16 سنة ، وبعد إخلاء سبيله استقر في حصن الكرك ، وعكف على نهب وسلب قوافل التجار المارة في الجوار ، لأن الحصن كان يقطع الطريق من سوريا إلى مصر والحجاز ، وفي أواخر سنة 1186 م ولربما أوائل 1187 م ، شن رينو غارة ( خلافا لشروط هدنة عقدت في 1180 ) على قافلة متجهة من القاهرة إلى دمشق ونهب بضائعها ، وأسر أفرادها وزجهم في حصن الكرك ، ويروى أن القافلة كانت لأخت صلاح الدين بالذات ، فما كان من صلاح الدين إلا ان يطالب في الحال ملك القدس آنذاك غي دي لوزينيان بالتعويض عن الضرر والإفراج عن الأسرى ومحاسبة الناهب ، ولكن الملك لم يجازف بمس تابعه القوي رينو ، فكان أن قرر صلاح الدين إعلان الحرب على مملكة القدس ، إلا إن مرض صلاح الدين أخر بدء القتال في تلك السنة .

[Chunk 2]
المنظمات: الروم، امارة دومة الجندل، رة ايلة، للدولة الاسلامية، واما
الأماكن: خليج العقبة
النص: لذلك ، حققت هذه الغزوة الغرض المرجو منها بالرغم من عدم الاشتباك الحربي مع الروم الذين آثروا الفرار شمالا فحققوا انتصارا للمسلمين دون قتال ، حيث أخلوا مواقعهم للدولة الإسلامية ، وترتب على ذلك خضوع النصرانية التي كانت تمت بصلة الولاء لدولة الروم مثل إمارة دومة الجندل ، وإمارة إيلة ( مدينة العقبة حاليا على خليج العقبة الآسيوي ) ، وكتب الرسول محمد بينه وبينهم كتابا يحدد ما لهم وما عليهم ،

[Chunk 3]
الأشخاص: الدي، بكر بن عبد مناة، كنانة، نفاثة
المنظمات: قريش
الأماكن: الاغ
النص: وسبب الغزوة هو أن قبيلة قريش انتهكت الهدنة التي كانت بينها وبين المسلمين ، بإعانتها لحلفائها من بني الدئل بن بكر بن عبد مناة بن كنانة ( تحديدا بطن منهم يقال لهم "" بنو نفاثة "") في الإغارة على قبيلة خزاعة ، الذين هم حلفاء المسلمين ، فنقضت بذلك عهدها مع المسلمين الذي سمي بصلح الحديبية",ماذا شكلت غارة أرناط اللصوصية على القافلة الإسلامية في عملية تحرير القدس ؟,السبب المباشر لهجوم المسلمين,"شكلت الغارة اللصوصية التي شنها رينو دي شاتيون (أرناط) على القافلة الإسلامية في القاهرة عام 1186 م، والتي أدت إلى أسر أفرادها ونهب بضائعهم، نقطة تحول في عملية تحرير القدس من الاحتلال الصليبي، حيث قرر صلاح الدين إعلان الحرب على مملكة القدس.",0.85,0.8,0.8
"[Chunk 1]
المنظمات: جزر القمر
الأماكن: الصحراء الغربية، جزيرة مدغشقر
النص: بخلاف المنطقة المتنازع عليها من الصحراء الغربية ، تضم القارة 54 دولة ، بما في ذلك جزيرة مدغشقر وعدة مجموعات من الجزر كالجزر التابعة لدولة جزر القمر ، والتي تعد ملحقة بالقارة

[Chunk 2]
المنظمات: اسبانيا، المغرب
الأماكن: الصحراء الغربية، المحيط الاطلسي، المغرب العربي، المغرب الكبير، ساحل البحر الابيض المتوسط، شمال افريقيا، موريتانيا، والجزاير، والمغرب، وتونس، وليبيا
النص: المغرب العربي أو المنطقة المغاربية أو المغرب الكبير ( تاريخيا بلاد المغرب ، بلد المغرب أو ببساطة "" المغرب "") هي منطقة تقع في شمال أفريقيا ، ممتدة على ساحل البحر الأبيض المتوسط وحتى المحيط الأطلسي ، وهي تشمل بالأساس خمسة دول هي موريتانيا والمغرب والجزائر وتونس وليبيا كما تشمل أراضي الصحراء الغربية المتنازع عليها ( التي تسيطر عليها المغرب في الغالب ) ومدينتي مليلية وسبتة ( التي تسيطر عليها إسبانيا وتعد جزء من المغرب ) وتبلغ مساحتها مجتمعة حوالي 5

[Chunk 3]
الأماكن: الجزاير، الشرقية، الصحراء الغربية، حيط الاطلسي، دولة المغرب، موريتانيا
النص: يحد الصحراء الغربية من جهة الشمال دولة المغرب بينما تحدها الجزائر من الجهة الشرقية ثم موريتانيا من الجهة الجنوبية فالمحيط الأطلسي من الغرب ، وتبلغ مساحتها حوالي",كم دولة تضم افريقيا بخلاف المنطقة المتنازع عليهامن الصحراء الغربية ؟,54 دولة,تضم أفريقيا 54 دولة بخلاف المنطقة المتنازع عليها من الصحراء الغربية.,0.93,0.91,0.92
"[Chunk 1]
الأماكن: الدوادمي، الرد، الرياض، القوي، ينيات
النص: ، وتتميز الحفيرة بقربها من محافظة الدوادمي التي لاتبعد عنها سوى 48 كم وكذلك فإنها لاتبعد عن محافظة القويعية سوى 80 كم تقريبا وكذلك توسطها في منطقة الرياض حيث انها لاتبعد عن العاصمة إلا 200 كم تقريبا ، ويوجد في الحفيرة بعض أماكن التعدين في منطقة الردينيات التابعة للحفيرة

[Chunk 2]
الأماكن: احل البحر الاحمر، الطايف، المدينة المنورة، غرب المملكة العربية السعودية، مطار الملك عبد العزيز، ميناء جدة
النص: تقع غرب المملكة العربية السعودية ، تبعد عن المدينة المنورة حوالي 400 كيلومتر في الاتجاه الجنوبي الغربي ، وعن مدينة الطائف حوالي 120 كيلومترا في الاتجاه الشرقي ، وعلى بعد 72 كيلومترا من مدينة جدة وساحل البحر الأحمر ، وأقرب الموانئ لها هو ميناء جدة الإسلامي ، وأقرب المطارات الدولية لها هو مطار الملك عبد العزيز الدولي

[Chunk 3]
الأشخاص: ي بن خالد بن حشر الهيضل، ي بن مناحي بن سجدي بن مناحي بن خالد الهيضل
الأماكن: اجين، ادية، الحف، الدع
التواريخ: عام 1338 ه، عام 1358 ه، عام 1388 ه، عام 1422 ه
النص: الحفيرة كانت في القديم مورد ماء جاهلي للبادية ، وهي أول هجره تأسست لقبيلة الدعاجين ، ومن أقدم هجر قبيلة عتيبة ومؤسسها هو الأمير مناحي بن خالد بن حشر الهيضل أسسها عام 1338 ه تقريبا ، وعندما توفي رحمه الله عام 1358 ه جاء بعده إبنه سجدي إلى عام 1388 ه حيث توفي - رحمه الله - ثم تولى بعده إبنه مناحي الذي بقي أميرا عليها حتى وفاته عام 1422 ه - رحمه الله - ، ورئيس مركزها الحالي إبنه الشيخ سجدي بن مناحي بن سجدي بن مناحي بن خالد الهيضل ، وقد ورد ذكر الحفيرة عند الكثير من المؤرخين وعدوها من ضمن هجر عتيبة عند تأسيس الهجر واستيطان البادية منهم",كم تبعد الحفيرة عن محافظة الدوادمي ؟,48 كم,تبعد الحفيرة عن محافظة الدوادمي حوالي 48 كم.,0.93,0.92,0.93
"[Chunk 1]
النص: لدى داليدا أكثر من 1000 أغنية بلغات متعددة والحاصلة على الألقاب والأوسمة الكثيرة وكرمها الجنرال الفرنسي ديجول بإعطائها لقب ( La Medaille de la Presidence de la Republique ) أو ميدالية رئاسة الجمهورية بسبب أدائها الرائع وصوتها المميز

[Chunk 2]
المنظمات: المملكة المتحدة
الأماكن: ايطاليا، ومصر
النص: عاشت داليدا طفولة طبيعية بين أسرتها ، تذهب إلى المدرسة والكنيسة ، كأية طفلة ، وما إن أصبحت بالغة حتى أخذ والدها الحاد الطباع يمنعها من الخروج مع أصدقائها وصديقاتها ، لاسيما بعد أن قضى عدة أشهر في السجن لأنه كان إيطاليا ومصر كانت إبان الحرب العالمية الثانية تحت حماية المملكة المتحدة وبعد مرور الوقت وجدت داليدا طريقة للهروب من مراقبة والديها ، فكانت تذهب إلى الكنيسة الصغيرة وهما مطمئنان عليها ، لكنها لم تكن تذهب للصلاة ، بل كانت تنتظر فتى من أصل إيطالي اسمه ( أرماندو ) ، كانت تأتي إلى الكنيسة وتقف في مكانها المفضل البعيد عن الناس ، حيث اعتادت ان تقف فيه في طفولتها لأنها كانت تشعر بالحرج من عينها المحولة التي أجرت لها ثلاث عمليات جراحية فيما بعد

[Chunk 3]
الأماكن: بالقاهرة، بمصر، حي شبرا
التواريخ: 17 يناير 1933، بداية القرن العشرين
النص: ولدت داليدا في 17 يناير 1933 ، في حي شبرا بالقاهرة لوالدين إيطاليي الأصل مولودين بمصر ، فقد هاجر أجدادها إلى مصر باحثين عن الرزق كما كان حال الكثير من الأجانب في بداية القرن العشرين الذين هاجروا بدافع الفقر والهرب من الحروب في بلدانهم آنذاك حيث كانت مصر بلدا آمنا ومزدهرا اقتصاديا",لماذا أعطى الجنرال الفرنسي ديجول لقب ميدالية رئاسة الجمهورية لداليدا ؟,بسبب أدائها الرائع وصوتها المميز,أعطى الجنرال الفرنسي ديجول لقب ميدالية رئاسة الجمهورية لداليدا بسبب أدائها الرائع وصوتها المميز.,0.92,0.93,0.91
"[Chunk 1]
الأشخاص: الكسندر لودفيغ، وس روش، ولين
التواريخ: 11 يونيو 2013
النص: تم الإعلان عن موسمان جديدان من المسلسل في 11 يونيو 2013 ألكسندر لودفيغ يلعب دور المراهق بيورن ، ولينوس روش ، يلعب دور الملك إيكبرت من ويسيكس

[Chunk 2]
التواريخ: 5 ابريل 2013
النص: في 5 أبريل 2013 ، جددت قناة التاريخ مسلسل الفايكنغ لموسم ثان مكون من 10 حلقات

[Chunk 3]
المنظمات: فوكس
التواريخ: 11 مايو 2018، 6 يونيو 2019، 8 مايو 2019
النص: وفي 11 مايو 2018 ، ألغت فوكس المسلسل بعد ثلاثة مواسم وبعد ذلك بشهر ، تكفلت نتفليكس بالمسلسل من أجل إنتاج موسم رابع من عشر حلقات ، أطلق في 8 مايو 2019 وفي 6 يونيو 2019 ، جددت نتفليكس عقد المسلسل من أجل إنتاج الموسم الخامس والأخير المكون من 16 حلقة",متى تم الإعلان عن الموسمين الجديدين من مسلسل الفايكنغ ؟,في 11 يونيو 2013,تم الإعلان عن الموسمين الجديدين من مسلسل الفايكنغ في 11 يونيو 2013.,0.93,0.93,0.92
"[Chunk 1]
المنظمات: apple inc
النص: شركة أبل ( Apple Inc ) هي شركة أمريكية متعددة الجنسيات تعمل على تصميم وتصنيع الإلكترونيات الاستهلاكية ومنتجات برامج الحاسوب

[Chunk 2]
المنظمات: ابل حاسوب
التواريخ: التاسع من يناير لعام 2007
النص: ظلت تسمى شركة أبل حاسوب المحدودة للسنوات الثلاثين الأولى ، ولكنها تخلت عن لفظة "" حاسوب "" في التاسع من يناير لعام 2007 ، لتعكس توسع الشركة المستمر في سوق الالكترونيات الاستهلاكية ، بالإضافة إلى تركيزها التقليدي على أجهزة الحاسوب الشخصية

[Chunk 3]
التواريخ: 1985
النص: بعد خسارة الصراع على السلطة مع مجلس الإدارة في 1985 استقال جوبز من آبل وقام بتأسيس نكست وهي شركة تعمل على تطوير منصات الحواسيب في التعليم العالي والأسواق التجارية",ما المجال الذي تعمل به شركة أبل ؟,تصميم وتصنيع الإلكترونيات الاستهلاكية ومنتجات برامج الحاسوب,تعمل شركة أبل في مجال تصميم وتصنيع الإلكترونيات الاستهلاكية ومنتجات برامج الحاسوب.,0.9,0.93,0.93
"[Chunk 1]
النص: يقاس عمر البروتينات حسب عمرها النصفي ويشمل مجالا واسعا ، حيث يمكنها التواجد لدقائق فقط أو لسنوات عديدة ، متوسط عمر البروتينات هو 1 -2 يوم في خلايا الثدييات ، تتحلل البروتينات المضطربة أو المتطوية بشكل خاطئ بصفة أسرع بسبب استهدافها لتدميرها أو لكونها غير مستقرة

[Chunk 2]
التواريخ: عام 1995، عقد الثمانينيات
النص: ففي عقد الثمانينيات كان متوسط أعمارها نحو سبع سنوات ، ويرتفع إلى 9 4 سنوات في عام 1995

[Chunk 3]
النص: لا يمكن للبروتينات البقاء بعد أن يتم تخليقها سوى لفترة محددة ثم يتم تحليلها وإعادة تدويرها بواسطة آلية الخلية عبر عملية تعرف بدورة البروتين",كم متوسط عمر البروتينات عند الثدييات ؟,1 -2 يوم,متوسط عمر البروتينات هو 1-2 يوم في خلايا الثدييات.,0.93,0.92,0.91
